SITE_ID,SITE_NUM,SITE_NAME,ACTIVE,INACTIVE,AGENCY,STATE,COUNTY,TIME_ZONE,LATITUDE,LONGITUDE,ELEVATION,MAPID,LAND_USE,TERRAIN,MLM,NADP_ID,NADP_DISTANCE,UPDATE_DATE
LYK123,123,Lykens,,domwp,EPA,OH,Crawford,EA,40.916981,-82.998206,303.0,"Chatfield, OH",Agric,Flat,Mixed,OH17,62.615,2020-01-30 13:25:29
MAC426,426,Mammoth Cave NP,domt,,NPS,KY,Edmonson,EA,37.131794,-86.142953,243.0,,Agric,Rolling,Mixed,KY10,0.449,2020-01-30 13:25:29
MCK131,131,Mackville,dom,,EPA,KY,Washington,EA,37.704678,-85.048706,293.0,"Mackville, KY",Agric,Rolling,Mixed,KY03,0.017,2020-01-30 13:25:29
MCK231,231,Mackville Collocated,dom,,EPA,KY,Washington,EA,37.704678,-85.048706,293.0,"Mackville, KY",Agric,Rolling,Mixed,KY03,0.017,2020-01-30 13:25:29
MEV405,405,Mesa Verde NP,dom,,NPS,CO,Montezuma,MO,37.198398,-108.490462,2165.0,,Forest,Complex,No,CO99,0.073,2020-01-30 13:25:29
MKG113,113,M.K. Goddard,dom,,EPA,PA,Mercer,EA,41.426847,-80.145247,377.0,"Hadley, PA",Forest,Rolling,No,PA30,81.008,2020-01-30 13:25:29
MKG513,513,M.K. Goddard Aerosol,,ai,EPA,PA,Mercer,EA,41.426847,-80.145247,377.0,"Hadley, PA",Forest,Rolling,,PA30,81.008,2020-01-30 13:25:29
MOR409,409,Mount Rainier NP,,dom,NPS,WA,Pierce,PA,46.75838,-122.12429,415.0,,Forest,Complex,No,WA99,0.02,2020-01-30 13:25:29
NCS415,415,North Cascades NP,,dom,NPS,WA,Skagit,PA,48.54051,-121.445652,109.0,,Forest,Complex,No,WA19,0.035,2020-01-30 13:25:29
NEC602,602,Newcastle,dom,,BLM,WY,Weston,MO,43.873,-104.1919,1468.0,,Prairie,Rolling,Mixed,WY99,0.016,2020-01-30 13:25:29
NIC001,1,Nicks Lake,dm,,EPA,NY,Herkimer,EA,43.6805,-74.9891,525.0,,Forest,Rolling,No,NY94,0.562,2020-01-30 13:25:29
NPT006,6,Nez Perce Tribe,dom,,EPA,ID,Idaho,PA,46.2756,-116.0216,945.0,,Forest,Rolling,Mixed,WA24,104.271,2020-01-30 13:25:29
OLY421,421,Olympic NP,,dom,NPS,WA,Clallam,PA,48.0975,-123.4256,125.0,,Forest,Complex,No,WA14,46.165,2020-01-30 13:25:29
ONL102,102,Oak Ridge,,dom,EPA,TN,Anderson,EA,35.96,-84.29,341.0,,Forest,Rolling,Yes,TN04,70.226,2020-01-30 13:25:29
OXF122,122,Oxford,dom,,EPA,OH,Butler,EA,39.531115,-84.723547,284.0,"Oxford, OH",Agric,Rolling,No,OH09,0.032,2020-01-30 13:25:29
PAL190,190,Palo Duro,dom,,EPA,TX,Randall,CE,34.88061,-101.664703,1053.0,,Prairie,Complex,Mixed,TX43,0.073,2020-01-30 13:25:29
PAR107,107,Parsons,dom,,EPA,WV,Tucker,EA,39.090434,-79.661742,510.0,"Parsons, WV",Forest,Complex,No,WV18,0.091,2020-01-30 13:25:29
PAR207,207,Parsons Collocated,,dom,EPA,WV,Tucker,EA,39.090434,-79.661742,510.0,,Forest,Complex,No,WV18,0.091,2020-01-30 13:25:29
PBF129,129,Perryville,,dom,EPA,KY,Boyle,EA,37.68,-84.97,279.0,,Agric,Rolling,Mixed,KY03,7.479,2020-01-30 13:25:29
PED108,108,Prince Edward,domp,w,EPA,VA,Prince Edward,EA,37.165222,-78.307067,149.0,"Green Bay, VA",Forest,Rolling,Mixed,VA24,0.021,2020-01-30 13:25:29
PET427,427,Petrified Forest,dom,,NPS,AZ,Navajo,MOno,34.822508,-109.892485,1723.0,,Desert,Flat,No,AZ97,0.012,2020-01-30 13:25:29
PIN414,414,Pinnacles NM,dom,,NPS,CA,San Benito,PA,36.483235,-121.156876,335.0,,Forest,Complex,No,CA66,0.021,2020-01-30 13:25:29
PND165,165,Pinedale,domt,,EPA,WY,Sublette,MO,42.929031,-109.787796,2386.0,"Freemont Lake South, WY",Forest,Rolling,Mixed,WY06,0.024,2020-01-30 13:25:29
PNF126,126,Cranberry,domt,w,EPA,NC,Avery,EA,36.105435,-82.045015,1216.0,"Carber's Gap, NC",Forest,Mountaintop,Mixed,NC45,46.477,2020-01-30 13:25:29
POF425,425,Poker Flats - Yukon Flats NM,,dm,NPS,AK,Fairbanks North Star,AL,65.1178,-147.4333,495.0,"Livengood, AK",Forest,Complex,No,AK01,4.953,2020-01-30 13:25:29
PRK134,134,Perkinstown,domp,w,EPA,WI,Taylor,CE,45.206525,-90.597209,462.0,"Perkinstown, WI",Agric,Rolling,Mixed,WI35,0.048,2020-01-30 13:25:29
PSU106,106,Penn State,dom,,EPA,PA,Centre,EA,40.720902,-77.931759,364.0,"Pine Grove Mills, PA",Agric,Rolling,Mixed,PA42,7.073,2020-01-30 13:25:29
